Date,Adj Close,Close,High,Low,Open,Volume
2020-01-01,22053.359375,23602.150390625,23799.0,23241.099609375,23350.0,16716
2020-01-02,22039.203125,23587.0,23849.0,23400.0,23622.0,17276
2020-01-03,21754.177734375,23281.94921875,23640.80078125,23205.25,23520.0,14078
2020-01-06,21404.853515625,22908.099609375,23263.599609375,22616.0,23263.599609375,21088
2020-01-07,21332.673828125,22830.849609375,23175.0,22619.5,22910.0,25378
2020-01-08,21333.193359375,22831.400390625,23000.0,22450.0,22682.05078125,38756
2020-01-09,21999.822265625,23544.849609375,23660.0,22941.0,23000.0,58676
2020-01-10,22170.8125,23727.849609375,23860.19921875,23392.849609375,23512.0,41097
2020-01-13,21637.00390625,23156.55078125,23799.05078125,23011.150390625,23799.0,33606
2020-01-14,22349.93359375,23919.55078125,24250.0,23202.0,23202.0,58627
2020-01-15,22702.103515625,24296.44921875,24370.0,23700.05078125,23820.0,23480
2020-01-16,23801.912109375,25473.5,25580.0,24161.05078125,24379.900390625,51493
2020-01-17,24158.240234375,25854.849609375,25997.0,25234.05078125,25440.0,27398
2020-01-20,23712.5390625,25377.849609375,26388.80078125,25208.0,26010.0,38562
2020-01-21,23639.744140625,25299.94921875,25600.0,25160.599609375,25377.849609375,79781
2020-01-22,23759.583984375,25428.19921875,25750.0,25311.25,25320.25,16828
2020-01-23,24155.15234375,25851.55078125,25990.0,25350.0,25350.0,20683
2020-01-24,24494.287109375,26214.5,26882.599609375,25700.5,25874.0,42596
2020-01-27,24580.857421875,26307.150390625,26738.400390625,26054.0,26199.0,32530
2020-01-28,23495.390625,25145.44921875,26564.900390625,25070.0,26440.0,43686
2020-01-29,23396.064453125,25039.150390625,25399.19921875,24670.0,25220.0,43899
2020-01-30,22822.400390625,24425.19921875,25144.05078125,24300.099609375,25144.05078125,36054
2020-01-31,22834.12890625,24437.75,24737.849609375,24120.0,24580.0,22781
2020-02-03,22728.44921875,24324.650390625,24500.0,23599.80078125,23600.0,31743
2020-02-04,23048.8046875,24667.5,24989.0,24300.0,24520.0,27751
2020-02-05,23094.822265625,24716.75,25050.94921875,24500.0,24600.0,25402
2020-02-06,22468.833984375,24046.80078125,24896.94921875,23903.650390625,24840.0,28943
2020-02-07,22192.396484375,23750.94921875,24274.0,23670.05078125,24150.0,16109
2020-02-10,22355.8671875,23925.900390625,24428.19921875,23581.0,23899.0,29362
2020-02-11,22539.708984375,24122.650390625,24219.94921875,23833.05078125,24095.0,17940
2020-02-12,22190.52734375,23748.94921875,24290.0,23606.900390625,24290.0,20229
2020-02-13,21973.14453125,23516.30078125,23958.0,23399.0,23800.0,34387
2020-02-14,20974.060546875,22447.05078125,22749.0,21609.0,22655.0,262333
2020-02-17,21069.646484375,22549.349609375,23278.900390625,22352.05078125,22639.0,54006
